label,text
ham,Hi team the meeting is scheduled tomorrow at 10 AM please join on time
ham,Can you send me the project report by today evening
ham,Let's have lunch together after the meeting
ham,Your order has been successfully delivered thank you for shopping with us
ham,Please review the attached document before tomorrow's discussion
ham,Are you available for a quick call today
ham,Reminder that the assignment deadline is tomorrow
ham,Your interview has been scheduled for Monday morning
ham,Please confirm your attendance for the workshop
ham,Thanks for completing the task on time
ham,Let's discuss the new feature implementation today
ham,Please update the shared document with your progress
ham,Good morning hope you have a productive day
ham,Your password has been updated successfully
ham,We will meet in the conference room at 3 PM
ham,Please send the invoice when possible
ham,The class will start at 9 AM tomorrow
ham,Thanks for your help with the project
ham,Looking forward to our meeting tomorrow
ham,Please review the code changes in the repository
spam,Congratulations you have won a free iPhone click here to claim your prize
spam,You have been selected for a $1000 gift card click the link now
spam,Limited time offer claim your free reward today
spam,Your account has been suspended verify your details immediately
spam,Win cash now by clicking this special link
spam,You are the lucky winner of a new smartphone claim now
spam,Exclusive deal buy now and get 90 percent discount
spam,Act now to receive your free vacation package
spam,Click here to claim your lottery prize immediately
spam,Your bank account needs verification login now
spam,Free entry in a competition to win a brand new car
spam,You have won a shopping voucher redeem it now
spam,Get rich fast with this secret investment opportunity
spam,Your loan has been approved click here to confirm
spam,Claim your free reward before the offer expires
spam,You have been selected for a free Netflix subscription
spam,This is your final chance to claim your prize
spam,Your mobile number won a lottery claim it now
spam,You have received a special promotion click here
spam,Unlock premium features by clicking this link